Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Callee","InterlockedExchange",141,141,141,141,0.00,0.00,0.00,0.00,0,0,0,141,141,0,141,141,0,141,141,0,141,141,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D1462,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","THUNK:_initterm",123982,76,123982,76,0.00,0.00,0.00,0.00,1073,62,0,123982,123982,0,76,76,0,123982,123982,0,76,76,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41EF6,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","THUNK:_initterm_e",47266,82,47266,82,0.00,0.00,0.00,0.00,1199,62,0,47266,47266,0,82,82,0,47266,47266,0,82,82,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41F19,"__tmainCRTStartup","perfPlay.exe",6228,
"Root","_atexit",5834,56,5834,56,0.00,0.00,0.00,0.00,694,127,5834,5834,5834,56,56,56,0,5834,5834,0,56,56,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\atonexit.c",126,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41C31,"_atexit","perfPlay.exe",6228,
"Caller","pre_cpp_init",5834,56,5834,56,0.00,0.00,0.00,0.00,694,127,0,5834,5834,0,56,56,0,5834,5834,0,56,56,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",278,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A412F2,"_atexit","perfPlay.exe",6228,
"Callee","__onexit",5778,0,5778,0,0.00,0.00,0.00,0.00,567,567,0,5778,5778,0,0,0,0,5778,5778,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\atonexit.c",79,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41A64,"_atexit","perfPlay.exe",6228,
"Root","_exit",12302,12107,12302,12107,0.00,0.00,0.00,0.00,127,64,12302,12302,12302,12107,12107,12107,0,12302,12302,0,12107,12107,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",392,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71DA7B0C,"_exit","perfPlay.exe",6228,
"Caller","__tmainCRTStartup",12302,12107,12302,12107,0.00,0.00,0.00,0.00,127,64,0,12302,12302,0,12107,12107,0,12302,12302,0,12107,12107,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A4137A,"_exit","perfPlay.exe",6228,
"Callee","__RTC_Terminate",195,195,195,195,0.00,0.00,0.00,0.00,63,63,0,195,195,0,195,195,0,195,195,0,195,195,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41CB1,"_exit","perfPlay.exe",6228,
"Root","_printf",382062,382062,382062,382062,0.00,0.00,0.00,0.00,0,0,382062,382062,382062,382062,382062,382062,0,382062,382062,0,382062,382062,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\printf.c",49,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71DE5584,"_printf","perfPlay.exe",6228,
